name,position,actual_eur,predicted_eur,abs_error_eur
Taylor Booth,Attack,6000000.0,1.6048964e+06,4395103.625
Samuel Obinaya,Midfield,150000.0,293874.06,143874.0625
Chang-jun Park,Attack,400000.0,723336.75,323336.75
Hugo Lamy,Defender,250000.0,196519.38,53480.625
Fran Morante,Defender,300000.0,359788.3,59788.3125
Caleb Kporha,Defender,1000000.0,864281.4,135718.625
Tymur Pogranichnyi,Midfield,50000.0,85802.46,35802.4609375
Oleg Isaenko,Defender,600000.0,270273.8,329726.1875
Ruslan Stepanyuk,Attack,800000.0,1.0936844e+06,293684.375
José Saez,Midfield,2750000.0,2.4602115e+06,289788.5
Antonio Bordușanu,Attack,300000.0,286419.44,13580.5625
Harry Clarke,Defender,5000000.0,1.6854898e+06,3314510.25
Wes Morgan,Defender,3500000.0,6.3378195e+06,2837819.5
Harvey Griffiths,Midfield,150000.0,202724.73,52724.734375
Javier Mascherano,Midfield,30000000.0,2.5277022e+07,4722978.0
Miguel Peña,Defender,100000.0,175939.28,75939.28125
Marcin Wasielewski,Midfield,400000.0,373271.78,26728.21875
Ygor Nogueira,Defender,900000.0,1.2678665e+06,367866.5
Yuri Berchiche,Defender,20000000.0,1.041868e+07,9581320.0
Gabriel Silva,Attack,5000000.0,2.7168378e+06,2283162.25
Petro Dolgov,Defender,100000.0,92364.16,7635.84375
Francisco Moura,Defender,15000000.0,1.6862938e+07,1862938.0
Saad Balobaid,Defender,650000.0,653208.5,3208.5
Nicolas Seube,Midfield,2000000.0,2.864579e+06,864579.0
Ali Sanogo,Attack,200000.0,316208.66,116208.65625
Hugo Basto,Defender,1750000.0,1.0800584e+06,669941.625
Chadi Riad,Defender,15000000.0,8.048084e+06,6951916.0
Hamse Hussein,Midfield,100000.0,133461.61,33461.609375
Dimitrios Goutas,Defender,3000000.0,4.0861422e+06,1086142.25
Alberto Perea,Attack,1200000.0,2.1825908e+06,982590.75
Mateusz Zukowski,Attack,2500000.0,1.3965232e+06,1103476.75
Murat Berk Colak,Attack,100000.0,80166.38,19833.6171875
Joel Anasmo,Attack,75000.0,209057.44,134057.4375
Nicolò Cherubin,Defender,1300000.0,2.7117255e+06,1411725.5
Alemão,Attack,3500000.0,1.458486e+06,2041514.0
Sam Woods,Defender,200000.0,918609.56,718609.5625
Ozan Kökcü,Midfield,550000.0,1.0844232e+06,534423.25
Volodymyr Gudyma,Attack,400000.0,220962.06,179037.9375
Alberto Dadie,Attack,250000.0,605579.0,355579.0
Sven Jansen,Goalkeeper,50000.0,101418.09,51418.09375
Pedro Rosas,Defender,450000.0,167715.0,282285.0
Seyit Ali Kahya,Midfield,125000.0,74932.02,50067.9765625
Dragan Lovric,Defender,300000.0,463527.53,163527.53125
Mateo Sanabria,Attack,1000000.0,2.4458408e+06,1445840.75
Joni Kauko,Midfield,600000.0,1.1823112e+06,582311.25
Nery Bareiro,Defender,250000.0,565443.3,315443.3125
Abdurrahman Bayram,Attack,100000.0,65733.18,34266.8203125
Iñaki Álvarez,Goalkeeper,200000.0,177437.61,22562.390625
Uriel Antuna,Attack,6500000.0,3.0781432e+06,3421856.75
Silvio Proto,Goalkeeper,4200000.0,8.140778e+06,3940778.0
Valerio Biagini,Goalkeeper,75000.0,65918.62,9081.3828125
Trey Nyoni,Midfield,6000000.0,1.2419208e+07,6419208.0
Charles Nduka,Attack,225000.0,345339.75,120339.75
